vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 05:32:27,13.81361,100.550083,7
11-9345 1,145.0,2023-10-30 05:32:27,13.81361,100.550083,7
11-9345 1,145.0,2023-10-30 05:33:12,13.809527,100.548555,40
11-9345 1,145.0,2023-10-30 05:33:12,13.809527,100.548555,40
11-9345 1,145.0,2023-10-30 05:33:57,13.804388,100.54836,52
11-9345 1,145.0,2023-10-30 05:33:57,13.804388,100.54836,52
11-9345 1,145.0,2023-10-30 05:34:57,13.798417,100.548555,26
11-9345 1,145.0,2023-10-30 05:34:57,13.798417,100.548555,26
11-9345 1,145.0,2023-10-30 05:35:57,13.80075,100.552472,56
11-9345 1,145.0,2023-10-30 05:35:57,13.80075,100.552472,56
11-9345 1,145.0,2023-10-30 05:36:27,13.802777,100.553583,0
11-9345 1,145.0,2023-10-30 05:36:57,13.80375,100.554193,0
11-9345 1,145.0,2023-10-30 05:37:12,13.80436,100.554583,33
11-9345 1,145.0,2023-10-30 05:37:12,13.80436,100.554583,33
11-9345 1,145.0,2023-10-30 05:38:12,13.811027,100.558555,37
11-9345 1,145.0,2023-10-30 05:38:12,13.811027,100.558555,37
11-9345 1,145.0,2023-10-30 05:38:57,13.813527,100.559888,33
11-9345 1,145.0,2023-10-30 05:38:57,13.813527,100.559888,33
11-9345 1,145.0,2023-10-30 05:39:57,13.81375,100.560055,40
11-9345 1,145.0,2023-10-30 05:39:57,13.81375,100.560055,40
11-9345 1,145.0,2023-10-30 05:40:57,13.810833,100.565277,47
11-9345 1,145.0,2023-10-30 05:40:57,13.810833,100.565277,47
11-9345 1,145.0,2023-10-30 05:41:57,13.807972,100.570333,51
11-9345 1,145.0,2023-10-30 05:41:57,13.807972,100.570333,51
11-9345 1,145.0,2023-10-30 05:42:12,13.807027,100.572027,33
11-9345 1,145.0,2023-10-30 05:42:12,13.807027,100.572027,33
11-9345 1,145.0,2023-10-30 05:42:57,13.805305,100.57511,29
11-9345 1,145.0,2023-10-30 05:42:57,13.805305,100.57511,29
11-9345 1,145.0,2023-10-30 05:43:57,13.80286,100.5795,36
11-9345 1,145.0,2023-10-30 05:43:57,13.80286,100.5795,36
11-9345 1,145.0,2023-10-30 05:44:57,13.80011,100.58436,32
11-9345 1,145.0,2023-10-30 05:44:57,13.80011,100.58436,32
11-9345 1,145.0,2023-10-30 05:45:57,13.797638,100.588805,46
11-9345 1,145.0,2023-10-30 05:45:57,13.797638,100.588805,46
11-9345 1,145.0,2023-10-30 05:46:57,13.7955,100.59261,34
11-9345 1,145.0,2023-10-30 05:46:57,13.7955,100.59261,34
11-9345 1,145.0,2023-10-30 05:47:12,13.794722,100.594,42
11-9345 1,145.0,2023-10-30 05:47:12,13.794722,100.594,42
11-9345 1,145.0,2023-10-30 05:47:57,13.792638,100.59775,36
11-9345 1,145.0,2023-10-30 05:48:42,13.791193,100.60036,28
11-9345 1,145.0,2023-10-30 05:48:42,13.791193,100.60036,28
11-9345 1,145.0,2023-10-30 05:49:42,13.788527,100.605083,29
11-9345 1,145.0,2023-10-30 05:49:42,13.788527,100.605083,29
11-9345 1,145.0,2023-10-30 05:50:42,13.786638,100.6085,40
11-9345 1,145.0,2023-10-30 05:50:42,13.786638,100.6085,40
11-9345 1,145.0,2023-10-30 05:51:12,13.785167,100.611193,35
11-9345 1,145.0,2023-10-30 05:51:42,13.784417,100.612583,0
11-9345 1,145.0,2023-10-30 05:51:57,13.784138,100.613055,28
11-9345 1,145.0,2023-10-30 05:52:42,13.78186,100.617055,42
11-9345 1,145.0,2023-10-30 05:52:42,13.78186,100.617055,42
11-9345 1,145.0,2023-10-30 05:52:42,13.78186,100.617055,42
11-9345 1,145.0,2023-10-30 05:53:57,13.778667,100.622693,52
11-9345 1,145.0,2023-10-30 05:53:57,13.778667,100.622693,52
11-9345 1,145.0,2023-10-30 05:54:42,13.77725,100.625333,0
11-9345 1,145.0,2023-10-30 05:54:42,13.77725,100.625333,0
11-9345 1,145.0,2023-10-30 05:55:27,13.775667,100.62811,28
11-9345 1,145.0,2023-10-30 05:55:27,13.775667,100.62811,28
11-9345 1,145.0,2023-10-30 05:56:27,13.77425,100.630722,26
11-9345 1,145.0,2023-10-30 05:56:27,13.77425,100.630722,26
11-9345 1,145.0,2023-10-30 05:57:12,13.772305,100.634138,0
